Cliente_ID,Region,Zona,Deuda_Expuesta,Canal_Asignado,Prob_Incremental,Costo_Incurrido,Valor_Esperado_Neto,Dia_Semana,Hora_Inicio,Hora_Fin,Slot_Asignado,Asesor_Asignado,Estado_Agenda,Restriccion_Aplicada
48203,Norte,urbano,1493.07,SMS,0.6363119928842433,0.2,949.8583472156771,Jueves,07:00,08:00,Jueves 07:00-08:00,DIGITAL_AUTOMATION,AGENDADO,Digital L-S 07:00-19:00 (Round-Robin)
44983,Lima,rural,1852.62,Llamada,0.46174216613408803,1.5,853.9327718233341,Jueves,07:00,08:00,Jueves 07:00-08:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00 (Round-Robin)
40192,Centro,urbano,1391.29,SMS,0.5055789731173657,0.2,703.2069695084596,Jueves,07:00,08:00,Jueves 07:00-08:00,DIGITAL_AUTOMATION,AGENDADO,Digital L-S 07:00-19:00 (Round-Robin)
30665,Sur,urbano,1227.35,WhatsApp,0.4942108861442657,0.1,606.4697311091645,Jueves,07:00,08:00,Jueves 07:00-08:00,DIGITAL_AUTOMATION,AGENDADO,Digital L-S 07:00-19:00 (Round-Robin)
6860,Centro,urbano,964.17,Llamada,0.5920956749587394,1.5,569.3808869249677,Jueves,07:00,08:00,Jueves 07:00-08:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00 (Round-Robin)
28505,Sur,urbano,1210.92,WhatsApp,0.45253292384154437,0.1,547.881168138203,Jueves,07:00,08:00,Jueves 07:00-08:00,DIGITAL_AUTOMATION,AGENDADO,Digital L-S 07:00-19:00 (Round-Robin)
34955,Norte,urbano,1165.19,WhatsApp,0.43989579109760074,0.1,512.4621768290134,Jueves,07:00,08:00,Jueves 07:00-08:00,DIGITAL_AUTOMATION,AGENDADO,Digital L-S 07:00-19:00 (Round-Robin)
43485,Centro,urbano,1150.82,WhatsApp,0.42332506364862454,0.1,487.07094974811,Jueves,07:00,08:00,Jueves 07:00-08:00,DIGITAL_AUTOMATION,AGENDADO,Digital L-S 07:00-19:00 (Round-Robin)
42323,Sur,urbano,1490.84,Llamada,0.31881325409917605,1.5,473.79955174121557,Jueves,07:00,08:00,Jueves 07:00-08:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00 (Round-Robin)
48540,Sur,rural,958.06,WhatsApp,0.4837273077169044,0.1,463.3397844312574,Jueves,07:00,08:00,Jueves 07:00-08:00,DIGITAL_AUTOMATION,AGENDADO,Digital L-S 07:00-19:00 (Round-Robin)
12144,Sur,rural,866.47,Campo,0.5365548365393878,8.0,456.9086692162834,Jueves,07:00,08:00,Jueves 07:00-08:00,CAMPO_SUR_01,AGENDADO,Campo Sur/rural: max 10 visitas asesor-dia
43522,Lima,urbano,1412.07,WhatsApp,0.31621013057529807,0.1,446.4108390814611,Jueves,07:00,08:00,Jueves 07:00-08:00,DIGITAL_AUTOMATION,AGENDADO,Digital L-S 07:00-19:00 (Round-Robin)
