Cliente_ID,Deuda_Expuesta,Canal_Asignado,Prob_Incremental,Costo_Incurrido,Valor_Esperado_Neto
5,154.4,WhatsApp,0.533613659750303,0.1,82.28994906544679
6,317.81,WhatsApp,0.28940146796890837,0.1,91.87468053519878
7,888.33,WhatsApp,0.5087648505321042,0.1,451.85107967318413
12,167.94,WhatsApp,0.23124188051214384,0.1,38.734761413209434
13,135.09,WhatsApp,0.21734904675037953,0.1,29.26168272550877
14,154.82,WhatsApp,0.43754474201260524,0.1,67.64067695839155
20,273.62,WhatsApp,0.4064314437663928,0.1,111.10777164336041
25,1215.35,WhatsApp,0.1321184889730851,0.1,160.47020557343896
30,87.37,WhatsApp,0.3769207140546835,0.1,32.8315627869577
33,150.94,Control,0.0,0.0,0.0
34,859.36,WhatsApp,0.2317415485625582,0.1,199.04941717272
36,1082.31,Campo,0.42558213951927276,8.0,452.6118054231041
41,537.29,Llamada,0.2712437792115893,1.5,144.2365701325948
49,604.68,Llamada,0.32988518861913946,1.5,197.97497585422124
53,572.57,WhatsApp,0.4040006524827138,0.1,231.21865359202747
57,384.74,WhatsApp,0.4499952154568942,0.1,173.03115919488548
58,723.13,WhatsApp,0.4439436803733793,0.1,320.92899358840174
65,965.89,WhatsApp,0.17152328758972735,0.1,165.57262825004176
72,147.23,WhatsApp,0.24245928674481831,0.1,35.597280787439594
73,551.45,WhatsApp,0.38719726618819017,0.1,213.4199324394775
74,2054.71,WhatsApp,0.575672287119759,0.1,1182.73960506784
75,293.33,WhatsApp,0.49213643245159644,0.1,144.2583797310268
76,137.99,WhatsApp,0.44385245845558574,0.1,61.14720074228628
84,709.19,WhatsApp,0.4362225058997996,0.1,309.26463895907887
87,974.58,WhatsApp,0.28249791537417135,0.1,275.2168183653599
88,317.95,WhatsApp,0.3498578594423733,0.1,111.13730640970259
96,658.6,WhatsApp,0.31170846728174967,0.1,205.19119655176036
97,480.68,WhatsApp,0.3891726185468276,0.1,186.9674942830891
99,25.83,Control,0.0,0.0,0.0
101,496.73,WhatsApp,0.23987011058240254,0.1,119.05068002959682
108,394.24,WhatsApp,0.4446168164146033,0.1,175.1857337032932
110,173.42,Llamada,0.3310793241832218,1.5,55.915776399854316
112,1129.2,WhatsApp,0.3924424760244642,0.1,443.04604392682495
115,1003.53,WhatsApp,0.33390249714582426,0.1,334.981172960749
116,896.52,WhatsApp,0.2966678036306609,0.1,265.8686193109601
123,654.39,Control,0.0,0.0,0.0
127,1639.17,SMS,0.614691339598779,0.2,1007.3836031301305
128,76.3,SMS,0.34289542777435206,0.2,25.962921139183063
132,1361.33,WhatsApp,0.11913468420441276,0.1,162.08161964799322
135,608.67,WhatsApp,0.5122471171497663,0.1,311.6894527955482
153,688.08,WhatsApp,0.3278418228938821,0.1,225.4814014968224
158,175.37,Llamada,0.2515673954301432,1.5,42.61737413658422
164,424.32,WhatsApp,0.23138159194182595,0.1,98.0798370927556
165,671.9,WhatsApp,0.24682898186189667,0.1,165.74439291300837
167,277.03,WhatsApp,0.426742366040683,0.1,118.1204376642504
172,580.19,WhatsApp,0.2964661701608551,0.1,171.90670726562652
180,1112.86,Campo,0.5487739669915033,8.0,602.7085969061643
183,431.03,WhatsApp,0.2889903443965335,0.1,124.46350814523782
190,801.92,WhatsApp,0.2216209567500133,0.1,177.62227763697067
193,786.5,Llamada,0.25278907626000957,1.5,197.31860847849754
197,933.72,WhatsApp,0.2780613220096073,0.1,259.5314175868105
198,759.1,WhatsApp,0.3300331203274628,0.1,250.42814164057702
203,1280.78,WhatsApp,0.3642598145154138,0.1,466.43668523505164
206,648.09,WhatsApp,0.17089952821807342,0.1,110.65827524285122
208,749.79,WhatsApp,0.3475743178638053,0.1,260.5077477911026
211,1113.69,Llamada,0.35381172782039877,1.5,392.5365831562999
213,606.79,WhatsApp,0.40096472236501074,0.1,243.20138388386485
221,247.67,WhatsApp,0.25183652080501473,0.1,62.27235110777799
223,809.6,WhatsApp,0.4401780650650403,0.1,356.26816147665664
226,640.66,WhatsApp,0.43866461318011984,0.1,280.93487107997555
235,737.93,WhatsApp,0.29070824070599677,0.1,214.42233206417617
237,1057.8400000000001,Llamada,0.21291082081888574,1.5,223.72558269505012
240,534.78,Llamada,0.3286698022505741,1.5,174.266036847562
241,1231.37,WhatsApp,0.5750271545223327,0.1,707.9711872641647
245,154.91,WhatsApp,0.4120929554637519,0.1,63.73731973088981
250,1067.89,SMS,0.3753147478236466,0.2,400.594866053394
257,127.96,WhatsApp,0.38621222455188986,0.1,49.31971625365982
260,546.47,WhatsApp,0.30934321541692855,0.1,168.94678692888897
265,64.2,WhatsApp,0.23401897579183423,0.1,14.924018245835759
267,824.73,WhatsApp,0.36260580276119625,0.1,298.95188371124135
