Cliente_ID,Region,Zona,Deuda_Expuesta,Canal_Asignado,Prob_Incremental,Costo_Incurrido,Valor_Esperado_Neto
5,Lima,urbano,154.4,Control,0.0,0.0,0.0
6,Sur,rural,317.81,Control,0.0,0.0,0.0
7,Sur,rural,888.33,WhatsApp,0.508764850740822,0.1,451.8510798585944
12,Sur,urbano,167.94,Control,0.0,0.0,0.0
13,Norte,urbano,135.09,Control,0.0,0.0,0.0
14,Lima,urbano,154.82,Control,0.0,0.0,0.0
20,Norte,urbano,273.62,Control,0.0,0.0,0.0
25,Lima,urbano,1215.35,Llamada,0.13472289390833259,1.5,162.235469111492
30,Sur,urbano,87.37,Control,0.0,0.0,0.0
33,Sur,urbano,150.94,Control,0.0,0.0,0.0
34,Centro,urbano,859.36,Llamada,0.24598180795069663,1.5,209.88692648051065
36,Centro,urbano,1082.31,Campo,0.4255821400812289,8.0,452.6118060313148
41,Centro,urbano,537.29,Llamada,0.2712437786392376,1.5,144.23656982507595
49,Centro,rural,604.68,Llamada,0.3298851893779661,1.5,197.97497631306854
53,Sur,rural,572.57,WhatsApp,0.4040006526109873,0.1,231.218653665473
57,Centro,urbano,384.74,SMS,0.3985856245440113,0.2,153.15183318706292
58,Lima,urbano,723.13,WhatsApp,0.4439436816687151,0.1,320.92899452509795
65,Sur,urbano,965.89,Llamada,0.1536765513492338,1.5,146.93464418271142
72,Lima,urbano,147.23,Control,0.0,0.0,0.0
73,Centro,rural,551.45,SMS,0.3147342211563449,0.2,173.36018625666642
74,Centro,urbano,2054.71,WhatsApp,0.5756722873251161,0.1,1182.7396054897895
75,Centro,urbano,293.33,Control,0.0,0.0,0.0
76,Lima,urbano,137.99,Control,0.0,0.0,0.0
84,Sur,urbano,709.19,WhatsApp,0.43622250579517596,0.1,309.26463888488087
87,Centro,urbano,974.58,Llamada,0.2801779186268377,1.5,271.5557959353435
88,Centro,urbano,317.95,Control,0.0,0.0,0.0
96,Lima,urbano,658.6,WhatsApp,0.31170846752495784,0.1,205.19119671193724
97,Lima,urbano,480.68,WhatsApp,0.38917261869492015,0.1,186.96749435427424
99,Sur,urbano,25.83,Control,0.0,0.0,0.0
101,Sur,urbano,496.73,Control,0.0,0.0,0.0
108,Centro,urbano,394.24,SMS,0.3814908128344109,0.2,150.19893805183816
110,Norte,urbano,173.42,Control,0.0,0.0,0.0
112,Lima,urbano,1129.2,WhatsApp,0.3924424758171654,0.1,443.0460436927432
115,Lima,urbano,1003.53,WhatsApp,0.33390249706042274,0.1,334.981172875046
116,Centro,urbano,896.52,WhatsApp,0.29666780383358665,0.1,265.8686194928871
123,Norte,urbano,654.39,Control,0.0,0.0,0.0
127,Centro,rural,1639.17,SMS,0.6146913394121627,0.2,1007.3836028242347
128,Sur,urbano,76.3,Control,0.0,0.0,0.0
132,Sur,rural,1361.33,Control,0.0,0.0,0.0
135,Centro,rural,608.67,Llamada,0.4764257243847867,1.5,288.4860456612881
153,Lima,urbano,688.08,Llamada,0.34539932033969745,1.5,236.16236433933904
158,Lima,rural,175.37,Control,0.0,0.0,0.0
164,Sur,rural,424.32,Control,0.0,0.0,0.0
165,Lima,urbano,671.9,Llamada,0.20805253341103402,1.5,138.29049719887377
167,Lima,urbano,277.03,Control,0.0,0.0,0.0
172,Sur,urbano,580.19,Control,0.0,0.0,0.0
180,Centro,urbano,1112.86,Campo,0.548773969518663,8.0,602.7085997185392
183,Centro,urbano,431.03,Llamada,0.3182683989339569,1.5,135.68322799250345
190,Sur,urbano,801.92,Control,0.0,0.0,0.0
193,Centro,urbano,786.5,Llamada,0.2527890773784489,1.5,197.31860935815007
197,Norte,rural,933.72,SMS,0.2619732224733991,0.2,244.40963728786224
198,Norte,urbano,759.1,WhatsApp,0.3300331206295105,0.1,250.42814186986143
203,Centro,urbano,1280.78,WhatsApp,0.36425981597415735,0.1,466.43668710338125
206,Lima,rural,648.09,Control,0.0,0.0,0.0
208,Norte,urbano,749.79,SMS,0.3359577111817934,0.2,251.69773226699687
211,Norte,urbano,1113.69,Llamada,0.3538117280997132,1.5,392.5365834673696
213,Norte,urbano,606.79,Llamada,0.3276171738596959,1.5,197.29482492632488
221,Sur,urbano,247.67,Control,0.0,0.0,0.0
223,Sur,urbano,809.6,WhatsApp,0.4401780651198661,0.1,356.2681615210436
226,Sur,urbano,640.66,SMS,0.36845577889012876,0.2,235.8548793037499
235,Sur,urbano,737.93,WhatsApp,0.29070824042375226,0.1,214.4223318558995
237,Lima,urbano,1057.8400000000001,Llamada,0.21291082037678877,1.5,223.72558222738226
240,Sur,urbano,534.78,Llamada,0.3286698025753816,1.5,174.26603702126255
241,Centro,urbano,1231.37,SMS,0.5436309168392482,0.2,669.2108020683451
245,Centro,urbano,154.91,Control,0.0,0.0,0.0
250,Lima,rural,1067.89,SMS,0.3753147482723127,0.2,400.5948665325201
257,Norte,urbano,127.96,Control,0.0,0.0,0.0
260,Norte,urbano,546.47,Control,0.0,0.0,0.0
265,Lima,urbano,64.2,Control,0.0,0.0,0.0
267,Sur,urbano,824.73,Llamada,0.336179103121937,1.5,275.7569917177551
269,Norte,urbano,570.77,Control,0.0,0.0,0.0
270,Lima,urbano,477.95,WhatsApp,0.3981766487050212,0.1,190.20852924856487
272,Norte,urbano,496.53999999999996,SMS,0.36217100005655145,0.2,179.63238836808006
273,Lima,urbano,602.46,Control,0.0,0.0,0.0
275,Norte,urbano,806.92,WhatsApp,0.3143236704670142,0.1,253.5340561732431
280,Centro,urbano,1298.56,Llamada,0.5582260368700733,1.5,723.3900024380024
281,Norte,rural,301.13,Control,0.0,0.0,0.0
288,Sur,rural,1116.2,Campo,0.46738831095018896,8.0,513.6988326826009
292,Norte,urbano,215.63,Control,0.0,0.0,0.0
294,Sur,urbano,680.54,Control,0.0,0.0,0.0
295,Lima,urbano,290.47,Control,0.0,0.0,0.0
301,Sur,rural,381.19,Llamada,0.4138457086440868,1.5,156.25384567803945
303,Lima,rural,295.39,Control,0.0,0.0,0.0
307,Sur,urbano,479.72,Control,0.0,0.0,0.0
308,Sur,urbano,1031.57,WhatsApp,0.3479330225198307,0.1,358.8172680407817
309,Norte,rural,372.95,Control,0.0,0.0,0.0
316,Norte,urbano,162.2,Control,0.0,0.0,0.0
317,Norte,urbano,717.89,Control,0.0,0.0,0.0
319,Norte,rural,213.95,Control,0.0,0.0,0.0
320,Lima,urbano,523.07,Control,0.0,0.0,0.0
322,Sur,urbano,313.98,Control,0.0,0.0,0.0
324,Centro,urbano,567.16,Control,0.0,0.0,0.0
330,Centro,urbano,462.85,SMS,0.3567506405307065,0.2,164.9220339696375
332,Centro,urbano,1019.81,Llamada,0.31543743289972526,1.5,320.1862484454688
334,Lima,rural,340.87,Control,0.0,0.0,0.0
336,Norte,urbano,1194.87,Llamada,0.2730813370522128,1.5,324.7966972035775
338,Sur,urbano,1039.71,WhatsApp,0.42909685432255446,0.1,446.03629040770306
339,Norte,rural,56.2,Control,0.0,0.0,0.0
342,Lima,urbano,214.11,Control,0.0,0.0,0.0
345,Norte,urbano,108.71,Control,0.0,0.0,0.0
348,Sur,rural,619.8,SMS,0.4274548886043616,0.2,264.73653995698334
358,Centro,urbano,588.29,WhatsApp,0.4820301714088162,0.1,283.47352953809246
367,Norte,urbano,210.99,Control,0.0,0.0,0.0
369,Centro,urbano,610.59,WhatsApp,0.4401456864928197,0.1,268.6485547156508
374,Centro,urbano,384.83,SMS,0.42714885726596163,0.2,164.17969474166003
377,Lima,urbano,42.39,Control,0.0,0.0,0.0
383,Norte,urbano,723.93,Llamada,0.28476820544718917,1.5,204.65224696938364
386,Sur,urbano,684.11,WhatsApp,0.44623396094619006,0.1,305.17311502289806
388,Sur,urbano,391.87,Control,0.0,0.0,0.0
392,Sur,urbano,795.07,Control,0.0,0.0,0.0
394,Centro,urbano,879.93,Llamada,0.23404570158021643,1.5,204.44383419147982
397,Norte,urbano,314.17,Control,0.0,0.0,0.0
398,Norte,urbano,47.82,Control,0.0,0.0,0.0
401,Centro,urbano,1010.87,WhatsApp,0.21970302976940137,0.1,221.99120170299477
402,Centro,rural,265.81,Control,0.0,0.0,0.0
417,Norte,rural,42.92,Control,0.0,0.0,0.0
425,Lima,urbano,615.76,SMS,0.3908371743749405,0.2,240.46189849311335
430,Norte,rural,1263.73,Llamada,0.5776507309804945,1.5,728.4945582619803
432,Sur,urbano,225.67,Control,0.0,0.0,0.0
437,Norte,rural,279.58,Control,0.0,0.0,0.0
438,Sur,urbano,426.67,Control,0.0,0.0,0.0
442,Norte,urbano,474.37,Control,0.0,0.0,0.0
445,Lima,rural,763.6800000000001,Llamada,0.2885742609905539,1.5,218.8783916332662
447,Centro,rural,328.24,Control,0.0,0.0,0.0
450,Norte,urbano,1141.32,Llamada,0.3562555539283835,1.5,405.1015888095426
455,Sur,rural,577.61,Llamada,0.47053771765543057,1.5,270.2872910949533
456,Lima,rural,50.94,Control,0.0,0.0,0.0
460,Lima,urbano,586.51,SMS,0.3137848640303351,0.2,183.83796060243185
461,Centro,urbano,49.36,Control,0.0,0.0,0.0
463,Centro,rural,398.19,Llamada,0.34753709269938876,1.5,136.8857949419696
464,Norte,urbano,912.4,WhatsApp,0.34996660038076166,0.1,319.20952618740694
466,Sur,urbano,293.77,Control,0.0,0.0,0.0
468,Centro,urbano,1051.1,Llamada,0.375673732696734,1.5,393.3706604375371
470,Centro,urbano,188.41,Control,0.0,0.0,0.0
471,Centro,urbano,293.16,Control,0.0,0.0,0.0
476,Norte,urbano,439.05,SMS,0.37287214233495747,0.2,163.5095140921631
478,Norte,urbano,326.71999999999997,Control,0.0,0.0,0.0
479,Centro,rural,1318.05,Llamada,0.2569001809853003,1.5,337.1072835476751
483,Norte,urbano,948.59,WhatsApp,0.4100688932767568,0.1,388.8872514733987
497,Sur,urbano,943.75,Llamada,0.37954425098959776,1.5,356.6948868714329
500,Sur,rural,688.48,Llamada,0.3257531230419584,1.5,222.77451015192753
501,Sur,urbano,106.65,Control,0.0,0.0,0.0
504,Centro,urbano,341.73,Llamada,0.4003133552634126,1.5,135.299082894166
508,Centro,urbano,301.34,Control,0.0,0.0,0.0
513,Norte,urbano,180.79,Control,0.0,0.0,0.0
518,Sur,urbano,849.4300000000001,Llamada,0.3569019323593751,1.5,301.66320840402403
522,Lima,urbano,105.13,Control,0.0,0.0,0.0
528,Lima,urbano,214.63,Control,0.0,0.0,0.0
533,Lima,urbano,147.79,Control,0.0,0.0,0.0
535,Norte,urbano,775.74,Llamada,0.32477895577829263,1.5,250.44402715545272
536,Lima,urbano,802.77,WhatsApp,0.4569526953685678,0.1,366.72791526102515
539,Sur,urbano,355.09,Llamada,0.39096767867708765,1.5,137.32871302144704
542,Lima,urbano,63.48,Control,0.0,0.0,0.0
547,Centro,urbano,720.36,SMS,0.36638307208551757,0.2,263.72770980752347
552,Sur,urbano,923.55,WhatsApp,0.3487432438294079,0.1,321.98182283864963
553,Lima,urbano,674.73,WhatsApp,0.45206747426516547,0.1,304.9234869109351
555,Centro,rural,782.69,WhatsApp,0.3416370002339148,0.1,267.2958637130828
556,Lima,urbano,628.74,WhatsApp,0.3468681480528224,0.1,217.98987940673157
563,Lima,urbano,820.94,Control,0.0,0.0,0.0
564,Norte,urbano,460.63,Control,0.0,0.0,0.0
566,Norte,urbano,474.58,Control,0.0,0.0,0.0
567,Norte,urbano,538.25,Llamada,0.3212756520563077,1.5,171.4266197193076
569,Sur,rural,647.42,WhatsApp,0.3820191677920253,0.1,247.22684961191302
570,Norte,urbano,670.82,WhatsApp,0.4478667851696087,0.1,300.3379968274769
572,Norte,rural,340.24,Control,0.0,0.0,0.0
575,Centro,urbano,1077.29,WhatsApp,0.5650990287674702,0.1,608.675532700908
579,Centro,rural,473.53,Control,0.0,0.0,0.0
581,Centro,urbano,277.04,Control,0.0,0.0,0.0
582,Sur,urbano,427.66,WhatsApp,0.47626192361343134,0.1,203.57817425252006
584,Lima,urbano,616.84,Control,0.0,0.0,0.0
586,Lima,urbano,992.0,SMS,0.2898167478883193,0.2,287.2982139052128
591,Sur,rural,661.05,WhatsApp,0.3537333976902559,0.1,233.73546254314365
595,Lima,rural,578.8,Campo,0.6206546999053686,8.0,351.2349403052273
598,Lima,urbano,889.08,WhatsApp,0.33131400552778256,0.1,294.46465603464094
599,Sur,urbano,2083.29,Llamada,0.386107399570593,1.5,802.8736844514207
606,Norte,urbano,48.01,Control,0.0,0.0,0.0
609,Norte,urbano,705.63,Llamada,0.3272222440855857,1.5,229.39783209411183
613,Centro,urbano,282.03,Control,0.0,0.0,0.0
615,Lima,urbano,444.96,Control,0.0,0.0,0.0
