Cliente_ID,Region,Zona,Deuda_Expuesta,Canal_Asignado,Prob_Incremental,Costo_Incurrido,Valor_Esperado_Neto,Dia_Semana,Hora_Inicio,Hora_Fin,Slot_Asignado,Asesor_Asignado,Estado_Agenda,Restriccion_Aplicada
44123,Norte,urbano,744.52,Llamada,0.3565275922073973,1.5,263.94192295025147,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
26739,Lima,urbano,1106.83,Llamada,0.23971700992298844,1.5,263.8259780930613,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
21844,Norte,rural,744.08,Llamada,0.35650605601193097,1.5,263.7690261573576,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
33972,Norte,rural,1209.81,Llamada,0.21913885228181468,1.5,263.6163748790622,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
29999,Sur,urbano,753.83,Llamada,0.35120977597858427,1.5,263.2524654259362,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
18496,Norte,urbano,640.03,Llamada,0.4123270586025759,1.5,262.40168731740664,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
13008,Sur,urbano,748.5,Llamada,0.35228013458763985,1.5,262.1816807388484,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
49179,Centro,rural,759.37,Llamada,0.347213361334067,1.5,262.1634101962505,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
45991,Norte,urbano,706.21,Llamada,0.3732269782497652,1.5,262.0766243097667,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
12497,Lima,urbano,1160.91,Llamada,0.2270315981124978,1.5,262.0632525647798,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
43949,Centro,rural,1195.52,Llamada,0.22043066028867614,1.5,262.02926298831807,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
4590,Sur,rural,925.74,Llamada,0.2845272909624869,1.5,261.89829433561266,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
46476,Norte,urbano,655.59,Llamada,0.4015243039637054,1.5,261.73531843556566,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
42780,Lima,rural,685.0,Llamada,0.38410632854355115,1.5,261.6128350523325,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
37278,Sur,urbano,913.07,Llamada,0.2877549457260692,1.5,261.240408294102,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
7541,Centro,urbano,742.98,Llamada,0.3532187450329344,1.5,260.9344631845696,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
14589,Sur,urbano,994.23,Llamada,0.2638605354587168,1.5,260.83806016912,Jueves,10:00,11:00,Jueves 10:00-11:00,CALL_CENTER_POOL,AGENDADO,Llamada L-V 07:00-19:00
